TableName,ColumnName,DataType
DimDate,DateID,int
DimDate,FullDateAlternateKey,date
DimDate,DayNumberOfWeek,int
DimDate,DayNameOfWeek,varchar
DimDate,DayNumberOfMonth,int
DimDate,DayNumberOfYear,int
DimDate,MonthName,varchar
DimDate,MonthNumberofYear,int
DimDate,CalendarQuarter,varchar
DimDate,CalendarYear,int
DimAddress,AddressID,int
DimAddress,Country,varchar
DimAddress,StateProvince,varchar
DimAddress,City,varchar
DimAddress,ZipCode,varchar
DimCollege,CollegeID,int
DimCollege,CollegeName,varchar
DimCollege,UniversityID,int
DimCollege,AddressID,int
DimCourse,CourseID,int
DimCourse,CourseEnrollmentID,int
DimCourse,SemesterID,int
DimCourse,FacultyID,int
DimCourse,ProgramID,int
DimCourse,CourseCode,varchar
DimCourse,CourseName,varchar
DimCourse,CRNCode,varchar
DimCourse,CreditHours,varchar
DimCourse,Prerequisite,varchar
DimCourse,isCoreCourse,char
DimCourse,Lab,varchar
DimCourse,CampusName,varchar
DimCourseEnrollment,CourseEnrollmentID,int
DimCourseEnrollment,EnrollmentStatus,varchar
DimCourseEnrollment,DropDate,int
DimCourseEnrollment,EnrollmentDate,int
DimCourseSection,SectionID,int
DimCourseSection,CourseID,int
DimCourseSection,CourseEnrollmentID,int
DimCourseSection,SectionName,varchar
DimCourseSection,SectionNumber,int
DimCourseSection,RoomNo,varchar
DimCourseSection,Building,varchar
DimDept,DeptID,int
DimDept,DeptName,varchar
DimDept,CollegeID,int
DimFaculty,FacultyID,int
DimFaculty,FirstName,varchar
DimFaculty,LastName,varchar
DimFaculty,DOB,int
DimFaculty,Gender,char
DimFaculty,EmailId,varchar
DimFaculty,PhoneNo,bigint
DimFaculty,DepartmentName,varchar
DimFaculty,isActive,char
DimFaculty,DeptID,int
DimProgram,ProgramID,int
DimProgram,ProgramName,varchar
DimProgram,DegreeLevel,varchar
DimProgram,Major,varchar
DimProgram,DeptID,int
DimSemester,SemesterID,int
DimSemester,Name,varchar
DimStudent,StudentID,int
DimStudent,NEUId,int
DimStudent,FirstName,varchar
DimStudent,LastName,varchar
DimStudent,SSNNo,bigint
DimStudent,DOB,int
DimStudent,EmailId,varchar
DimStudent,PhoneNo,bigint
DimStudent,Degree,varchar
DimStudent,Gender,varchar
DimStudent,isActive,char
DimStudent,ProgramID,int
DimStudent,DeptID,int
DimStudent,HomeAddID,int
DimStudent,OffCampusAddID,int
DimStudent,OnCampusAddID,int
DimUniversity,UniversityID,int
DimUniversity,UniversityName,varchar
DimUniversity,AddressID,int
FactGrades,GradesID,int
FactGrades,StudentID,int
FactGrades,SemesterID,int
FactGrades,DateID,int
FactGrades,CourseID,int
FactGrades,CourseEnrollmentID,int
FactGrades,MaxGrade,float
FactGrades,MinGrade,float
FactGrades,GPAHours,float
FactGrades,GPA,float
FactGrades,Grade,char
FactStudentAttendance,StudentID,int
FactStudentAttendance,FacultyID,int
FactStudentAttendance,CourseID,int
FactStudentAttendance,CourseEnrollmentID,int
FactStudentAttendance,AttendanceDateID,int
FactStudentAttendance,isPresent,char
